12:00 AM,0,0,0,86%,1028 hPa,10 km,Calm,Calm,0,0,	 ,
12:55 AM,0,0,0,93%,1027 hPa,10.0 km,Calm,Calm,0,N/A,	 ,Mostly Cloudy
1:00 AM,0,0,0,87%,1028 hPa,10 km,Calm,Calm,0,0,	 ,Mostly Cloudy
1:55 AM,0.0 °C,0,0,80%,1027 hPa,10.0 km,Calm,Calm,0,N/A,	 ,Mostly Cloudy
2:00 AM,0,0,0,71%,1028 hPa,10 km,Calm,Calm,0,0,	 ,Mostly Cloudy
2:55 AM,0.0 °C,0,0,80%,1027 hPa,10.0 km,Calm,Calm,0,N/A,	 ,Mostly Cloudy
3:00 AM,0,0,0,71%,1028 hPa,10 km,Calm,Calm,0,0,	 ,Mostly Cloudy
3:55 AM,0,0,0,80%,1027 hPa,10.0 km,Calm,Calm,0,N/A,	 ,Mostly Cloudy
4:00 AM,0,0,0,69%,1028 hPa,10 km,Calm,Calm,0,0,	 ,Mostly Cloudy
4:55 AM,0,0,0,80%,1027 hPa,10.0 km,Calm,Calm,0,N/A,	 ,Scattered Clouds
5:00 AM,0,0,0,69%,1027 hPa,10 km,Calm,Calm,0,0,	 ,Partly Cloudy
5:55 AM,0,0,0,86%,1026 hPa,0,Calm,Calm,0,N/A,	 ,Clear
6:00 AM,0,0,0,75%,1027 hPa,10 km,Calm,Calm,0,0,	 ,Partly Cloudy
6:55 AM,0,0,0,80%,1027 hPa,0,Calm,Calm,0,N/A,	 ,Clear
7:00 AM,0,0,0,75%,1028 hPa,10 km,Calm,Calm,0,0,	 ,Scattered Clouds
7:55 AM,0,0,0,80%,1027 hPa,0,Calm,Calm,0,N/A,	 ,Clear
8:00 AM,0,0,0,72%,1028 hPa,10 km,Calm,Calm,0,0,	 ,Scattered Clouds
8:55 AM,0,0,0,86%,1027 hPa,0,Calm,Calm,0,N/A,	 ,Clear
9:00 AM,0,0,0,82%,1028 hPa,10 km,Calm,Calm,0,0,	 ,
9:55 AM,0.0 °C,0,0,87%,1027 hPa,0,Calm,Calm,0,N/A,	 ,Clear
10:00 AM,0,0,0,78%,1028 hPa,10 km,Calm,Calm,0,0,	 ,
10:55 AM,3.0 °C,0,0,48%,1027 hPa,0,Calm,Calm,0,N/A,	 ,Clear
11:00 AM,3 °C,0,0,35%,1028 hPa,10 km,Calm,Calm,0,0,	 ,
